#|frequency	|flux	|
101.955385447	-0.000259886001004	
101.953432111	-0.000262043002294	
101.951478775	7.52211926738e-05	
101.949525439	0.00114344316535	
101.947572103	0.000640097481664	
101.945618767	0.00064418517286	
101.943665431	-9.98240429908e-05	
101.941712095	-0.000417134579038	
101.939758759	0.000682206416968	
101.937805423	0.000854923797306	
101.935852087	0.000610825140029	
101.933898751	-0.000376013020286	
101.931945415	0.000461524672573	
101.929992079	0.000223721857765	
101.928038743	-1.94930980797e-05	
101.926085407	1.98536308744e-05	
101.924132071	-0.00124103215057	
101.922178735	-4.24291574745e-05	
101.920225399	-0.000248279829975	
101.918272063	-0.000165540419403	
101.916318727	6.88733125571e-05	
101.914365391	2.48441247095e-05	
101.912412055	0.000464468059363	
101.910458719	0.000428261060733	
101.908505383	-0.000674234004691	
101.906552047	0.000477102788864	
101.904598711	0.000929272151552	
101.902645375	0.000755558547098	
101.900692039	0.000781480455771	
101.898738703	0.00130945479032	
101.896785367	0.0011623329483	
101.894832031	0.000695687253028	
101.892878695	0.00129796983674	
101.890925359	0.00107727455907	
101.888972023	0.000479824462673	
101.887018687	-0.0015802285634	
101.885065351	0.000160258437973	
101.883112015	-0.000612826028373	
101.881158679	-0.000152743188664	
101.879205343	0.000100302095234	
101.877252007	-0.00031559591298	
101.875298671	-8.7164931756e-05	
101.873345335	0.000330852839397	
101.871391999	0.000372437614715	
101.869438663	-0.000408808729844	
101.867485327	-0.000379341421649	
101.865531991	-0.000694369664416	
101.863578655	-0.000423535937443	
101.861625319	-9.98427058221e-05	
101.859671983	-0.000242189402343	
101.857718647	-0.000481384107843	
101.855765311	0.000240775276325	
101.853811975	-0.000173986976733	
101.851858639	-0.000798014109023	
101.849905303	0.000250237353612	
101.847951967	0.000199052446987	
101.845998631	-0.000362280145055	
101.844045295	2.23388069571e-05	
101.842091959	0.000282193446765	
101.840138623	0.000148014834849	
101.838185287	-0.000348965491867	
101.836231951	-0.000495610001963	
101.834278615	0.000364006875316	
101.832325279	0.000554497935809	
101.830371943	-0.000838875363115	
101.828418607	-0.00105577649083	
101.826465271	-0.000409893953474	
101.824511935	0.000396677671233	
101.822558599	-0.000435868365457	
101.820605263	-0.000510409590788	
101.818651927	0.00014180438302	
101.816698591	0.000467619567644	
101.814745255	-0.00115157698747	
